item_id,item_type,mean_sp_range,max_sp_range,min_sp_range,n_models
E2,personality,0.6666666666666666,1.7000000000000002,0.09999999999999998,6
M_CH,moral,0.5333333333333333,0.9,0.19999999999999996,6
N2,personality,0.5,0.7,0.2,6
M_PS,moral,0.43333333333333335,0.7000000000000001,0.0,6
A1,personality,0.4166666666666667,0.8,0.1,6
N1,personality,0.3666666666666667,0.6,0.09999999999999998,6
C2,personality,0.3666666666666667,0.5,0.09999999999999998,6
O1,personality,0.35000000000000003,0.7,0.09999999999999998,6
O2,personality,0.3333333333333333,0.5,0.09999999999999998,6
M_LB,moral,0.3,0.7,0.0,6
M_AS,moral,0.26666666666666666,0.30000000000000004,0.19999999999999996,6
A2,personality,0.21666666666666667,0.5,0.0,6
M_FC,moral,0.16666666666666666,0.4,0.0,6
C1,personality,0.11666666666666665,0.3,0.0,6
E1,personality,0.0,0.0,0.0,6
