model,pair,sp_a,sp_b,correlation,n_pairs,status,reason
claude-sonnet-4-5,SP_ABS_vs_SP_DIR,SP_ABS,SP_DIR,0.6720249612755247,149,ok,
claude-sonnet-4-5,SP_ABS_vs_SP_PER,SP_ABS,SP_PER,0.6240481298062522,148,ok,
claude-sonnet-4-5,SP_DIR_vs_SP_PER,SP_DIR,SP_PER,0.6935349598634962,149,ok,
gemini-3-pro,SP_ABS_vs_SP_DIR,SP_ABS,SP_DIR,0.7522265058368771,150,ok,
gemini-3-pro,SP_ABS_vs_SP_PER,SP_ABS,SP_PER,0.6214177317642595,150,ok,
gemini-3-pro,SP_DIR_vs_SP_PER,SP_DIR,SP_PER,0.5654351137673056,150,ok,
gpt-5-2,SP_ABS_vs_SP_DIR,SP_ABS,SP_DIR,0.7033126735836457,150,ok,
gpt-5-2,SP_ABS_vs_SP_PER,SP_ABS,SP_PER,0.7348467244900184,150,ok,
gpt-5-2,SP_DIR_vs_SP_PER,SP_DIR,SP_PER,0.7039245584765089,150,ok,
grok-4-3,SP_ABS_vs_SP_DIR,SP_ABS,SP_DIR,0.7140755225680611,150,ok,
grok-4-3,SP_ABS_vs_SP_PER,SP_ABS,SP_PER,0.5386678981484838,150,ok,
grok-4-3,SP_DIR_vs_SP_PER,SP_DIR,SP_PER,0.47670905491650234,150,ok,
mistral-large-3,SP_ABS_vs_SP_DIR,SP_ABS,SP_DIR,0.5780064535212619,150,ok,
mistral-large-3,SP_ABS_vs_SP_PER,SP_ABS,SP_PER,0.373933612354335,150,ok,
mistral-large-3,SP_DIR_vs_SP_PER,SP_DIR,SP_PER,0.3189097664658742,150,ok,
qwen3-max,SP_ABS_vs_SP_DIR,SP_ABS,SP_DIR,0.7168017964319336,150,ok,
qwen3-max,SP_ABS_vs_SP_PER,SP_ABS,SP_PER,0.7392104303952616,150,ok,
qwen3-max,SP_DIR_vs_SP_PER,SP_DIR,SP_PER,0.6888994174684305,150,ok,
