model,item_id,item_type,SP_ABS,SP_DIR,SP_PER,sp_min,sp_max,sp_range,n_SP_ABS,n_SP_DIR,n_SP_PER
mistral-large-3,E2,personality,0.8,0.6,-0.9,-0.9,0.8,1.7000000000000002,10,10,10
qwen3-max,M_CH,moral,-0.2,0.4,-0.5,-0.5,0.4,0.9,10,10,10
claude-sonnet-4-5,A1,personality,-0.5,-0.3,0.3,-0.5,0.3,0.8,10,10,10
gemini-3-pro,M_CH,moral,0.5,0.8,0.0,0.0,0.8,0.8,10,10,10
mistral-large-3,M_PS,moral,-0.1,-0.3,-0.8,-0.8,-0.1,0.7000000000000001,10,10,10
claude-sonnet-4-5,M_CH,moral,0.0,0.7,0.4444444444444444,0.0,0.7,0.7,9,10,9
gemini-3-pro,M_LB,moral,1.0,1.0,0.3,0.3,1.0,0.7,10,10,10
gemini-3-pro,N2,personality,0.7,0.6,0.0,0.0,0.7,0.7,10,10,10
grok-4-3,A1,personality,-0.5,-0.6,0.1,-0.6,0.1,0.7,10,10,10
grok-4-3,E2,personality,0.3,0.2,-0.4,-0.4,0.3,0.7,10,10,10
grok-4-3,N2,personality,0.0,0.5,-0.2,-0.2,0.5,0.7,10,10,10
grok-4-3,O1,personality,0.6,0.4,-0.1,-0.1,0.6,0.7,10,10,10
qwen3-max,N2,personality,0.5,0.7,0.0,0.0,0.7,0.7,10,10,10
gemini-3-pro,A1,personality,0.1,-0.4,0.2,-0.4,0.2,0.6000000000000001,10,10,10
claude-sonnet-4-5,N1,personality,-0.2,-0.6,0.0,-0.6,0.0,0.6,10,10,10
gemini-3-pro,E2,personality,0.0,0.1,-0.5,-0.5,0.1,0.6,10,10,10
gemini-3-pro,M_PS,moral,-1.0,-0.4,-0.9,-1.0,-0.4,0.6,10,10,10
gemini-3-pro,N1,personality,-0.5,-0.6,0.0,-0.6,0.0,0.6,10,10,10
grok-4-3,M_PS,moral,0.2,0.3,-0.3,-0.3,0.3,0.6,10,10,10
claude-sonnet-4-5,O1,personality,1.0,1.0,0.5,0.5,1.0,0.5,10,10,10
claude-sonnet-4-5,O2,personality,0.1,-0.1,0.4,-0.1,0.4,0.5,10,10,10
gemini-3-pro,O2,personality,0.3,0.7,0.8,0.3,0.8,0.5,10,10,10
gpt-5-2,A2,personality,-0.6,-0.5,-0.1,-0.6,-0.1,0.5,10,10,10
gpt-5-2,C2,personality,-0.8,-0.5,-0.3,-0.8,-0.3,0.5,10,10,10
grok-4-3,N1,personality,-0.5,-0.6,-0.1,-0.6,-0.1,0.5,10,10,10
mistral-large-3,C2,personality,-0.5,-0.6,-0.1,-0.6,-0.1,0.5,10,10,10
mistral-large-3,M_LB,moral,1.0,0.5,0.7,0.5,1.0,0.5,10,10,10
qwen3-max,E2,personality,0.0,-0.5,-0.4,-0.5,0.0,0.5,10,10,10
claude-sonnet-4-5,A2,personality,-0.4,0.0,-0.2,-0.4,0.0,0.4,10,10,10
claude-sonnet-4-5,C2,personality,-0.6,-1.0,-0.8,-1.0,-0.6,0.4,10,10,10
