model,pair,n_item_run_pairs,pearson_item_run,pearson_item_run_95ci_item_cluster_bootstrap,spearman_item_run,pearson_item_means_n15,within_item_centered_pearson,exact_agreement,mean_signed_difference_b_minus_a,mean_absolute_difference,mean_absolute_difference_95ci_item_cluster_bootstrap
claude-sonnet-4-5,SP_ABS_vs_SP_DIR,149,0.6720249612755247,"[0.4500338448155834, 0.8142961134223313]",0.673872995031756,0.8994245492028328,0.22068711938647498,0.6845637583892618,-0.026845637583892617,0.348993288590604,"[0.21333333333333335, 0.49324324324324326]"
claude-sonnet-4-5,SP_ABS_vs_SP_PER,148,0.6240481298062522,"[0.38686997701365194, 0.7792021245039951]",0.620125550879302,0.8210250072929087,0.28878703141454387,0.6216216216216216,-0.04054054054054054,0.3918918918918919,"[0.28378378378378377, 0.5067567567567568]"
claude-sonnet-4-5,SP_DIR_vs_SP_PER,149,0.6935349598634962,"[0.49044112835647985, 0.8183531264546846]",0.6807401253934673,0.8727761365120137,0.4000675331221712,0.6442953020134228,-0.013422818791946308,0.3624161073825503,"[0.24, 0.5]"
gemini-3-pro,SP_ABS_vs_SP_DIR,150,0.7522265058368771,"[0.620197895493278, 0.8539549220269173]",0.7506445114348346,0.903774228894729,0.5391308733856361,0.7533333333333333,0.04666666666666667,0.26,"[0.16, 0.36666666666666664]"
gemini-3-pro,SP_ABS_vs_SP_PER,150,0.6214177317642595,"[0.33684810773927826, 0.7880713208597331]",0.5998314638754785,0.791258406786135,0.32634893952008653,0.6533333333333333,-0.08,0.36,"[0.23333333333333334, 0.48683333333333095]"
gemini-3-pro,SP_DIR_vs_SP_PER,150,0.5654351137673056,"[0.3466117201744816, 0.7241695942943288]",0.561321671645611,0.7004957540153859,0.36243546490630796,0.6,-0.12666666666666668,0.42,"[0.28, 0.56]"
gpt-5-2,SP_ABS_vs_SP_DIR,150,0.7033126735836457,"[0.5057697671076367, 0.83052577968666]",0.7010699220110075,0.9386718532875609,0.31352722326440996,0.7466666666666667,0.08,0.26666666666666666,"[0.16666666666666666, 0.37333333333333335]"
gpt-5-2,SP_ABS_vs_SP_PER,150,0.7348467244900184,"[0.5818453802989456, 0.8360116049185922]",0.7347466373793745,0.9062542936339,0.40454178282849107,0.7533333333333333,0.12666666666666668,0.24666666666666667,"[0.14666666666666667, 0.3466666666666667]"
gpt-5-2,SP_DIR_vs_SP_PER,150,0.7039245584765089,"[0.4905035220343091, 0.8226420894928583]",0.7045379478242537,0.9463213531186108,0.29586225384249165,0.76,0.04666666666666667,0.24666666666666667,"[0.16666666666666666, 0.3333333333333333]"
grok-4-3,SP_ABS_vs_SP_DIR,150,0.7140755225680611,"[0.5610585115766132, 0.8017148816624479]",0.7181764719774872,0.9491584227802187,0.3425372616302596,0.7266666666666667,0.02,0.2866666666666667,"[0.18, 0.3933333333333333]"
grok-4-3,SP_ABS_vs_SP_PER,150,0.5386678981484838,"[0.315220840449689, 0.6953911815778626]",0.5816618427239667,0.766703200106996,0.20788663999246965,0.6066666666666667,-0.09333333333333334,0.41333333333333333,"[0.2733333333333333, 0.5666666666666667]"
grok-4-3,SP_DIR_vs_SP_PER,150,0.47670905491650234,"[0.2665210824508883, 0.622822417558415]",0.5233093569838436,0.7210094262107654,0.17544060470542666,0.6066666666666667,-0.11333333333333333,0.43333333333333335,"[0.2866666666666667, 0.5866666666666667]"
mistral-large-3,SP_ABS_vs_SP_DIR,150,0.5780064535212619,"[0.27496771612514853, 0.7713951429223492]",0.5776656344422528,0.9227570089720378,0.19711831408831965,0.74,-0.06666666666666667,0.26666666666666666,"[0.15333333333333332, 0.38]"
mistral-large-3,SP_ABS_vs_SP_PER,150,0.373933612354335,"[-0.08033045336529775, 0.6946310345577953]",0.38825687985651863,0.46939538952203114,0.21115639817898701,0.7,-0.18666666666666668,0.3466666666666667,"[0.18, 0.5666666666666667]"
mistral-large-3,SP_DIR_vs_SP_PER,150,0.3189097664658742,"[-0.06719714845819112, 0.6412975370147713]",0.3176127831338853,0.5186260570951629,0.06059678724350827,0.6666666666666666,-0.12,0.37333333333333335,"[0.2, 0.5866666666666667]"
qwen3-max,SP_ABS_vs_SP_DIR,150,0.7168017964319336,"[0.4917743362878169, 0.8365713335752163]",0.7214173565260911,0.9208178006671353,0.33194490494950085,0.7533333333333333,0.006666666666666667,0.26,"[0.15333333333333332, 0.38]"
qwen3-max,SP_ABS_vs_SP_PER,150,0.7392104303952616,"[0.5643226636179581, 0.8304312899771233]",0.7460262399251401,0.92100538261666,0.35298222700414317,0.74,-0.1,0.26,"[0.17333333333333334, 0.35333333333333333]"
qwen3-max,SP_DIR_vs_SP_PER,150,0.6888994174684305,"[0.4675550499166599, 0.8231749549141925]",0.6800059829836644,0.8250036870282295,0.44476405034130695,0.7,-0.10666666666666667,0.30666666666666664,"[0.18666666666666668, 0.44]"
